"ISO3","location_name","location_id","super_region_name","super_region_id","region_name","region_id"
"DOM","Dominican Republic",111,"Latin America and Caribbean",103,"Caribbean",104
"DZA","Algeria",139,"North Africa and Middle East",137,"North Africa and Middle East",137
"ECU","Ecuador",122,"Latin America and Caribbean",103,"Andean Latin America",120
"EGY","Egypt",141,"North Africa and Middle East",137,"North Africa and Middle East",137
"ERI","Eritrea",178,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"ESP","Spain",92,"High-income countries",64,"Western Europe",73
"EST","Estonia",58,"Central Europe, eastern Europe, and central Asia",31,"Eastern Europe",56
"ETH","Ethiopia",179,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"FIN","Finland",79,"High-income countries",64,"Western Europe",73
"FJI","Fiji",22,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"FRA","France",80,"High-income countries",64,"Western Europe",73
"FSM","Federated States of Micronesia",25,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"GAB","Gabon",173,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"GBR","United Kingdom",95,"High-income countries",64,"Western Europe",73
"GEO","Georgia",35,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"GHA","Ghana",207,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"GIN","Guinea",208,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"GMB","Gambia",206,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"GNB","Guinea-Bissau",209,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"GNQ","Equatorial Guinea",172,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"GRC","Greece",82,"High-income countries",64,"Western Europe",73
"GRD","Grenada",112,"Latin America and Caribbean",103,"Caribbean",104
"GRL","Greenland",349,"High-income countries",64,"High-income North America",100
"GTM","Guatemala",128,"Latin America and Caribbean",103,"Central Latin America",124
"GUM","Guam",351,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"GUY","Guyana",113,"Latin America and Caribbean",103,"Caribbean",104
"HND","Honduras",129,"Latin America and Caribbean",103,"Central Latin America",124
"HRV","Croatia",46,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"HTI","Haiti",114,"Latin America and Caribbean",103,"Caribbean",104
"HUN","Hungary",48,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"IDN","Indonesia",11,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"IND","India",163,"South Asia",158,"South Asia",158
"IRL","Ireland",84,"High-income countries",64,"Western Europe",73
"IRN","Iran",142,"North Africa and Middle East",137,"North Africa and Middle East",137
"IRQ","Iraq",143,"North Africa and Middle East",137,"North Africa and Middle East",137
"ISL","Iceland",83,"High-income countries",64,"Western Europe",73
"ISR","Israel",85,"High-income countries",64,"Western Europe",73
"ITA","Italy",86,"High-income countries",64,"Western Europe",73
"JAM","Jamaica",115,"Latin America and Caribbean",103,"Caribbean",104
"JOR","Jordan",144,"North Africa and Middle East",137,"North Africa and Middle East",137
"JPN","Japan",67,"High-income countries",64,"High-income Asia Pacific",65
"KAZ","Kazakhstan",36,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"KEN","Kenya",180,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"KGZ","Kyrgyzstan",37,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"KHM","Cambodia",10,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"KIR","Kiribati",23,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"KNA","Saint Kitts and Nevis",393,"Latin America and Caribbean",103,"Caribbean",104
"KOR","South Korea",68,"High-income countries",64,"High-income Asia Pacific",65
"KWT","Kuwait",145,"North Africa and Middle East",137,"North Africa and Middle East",137
"LAO","Laos",12,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"LBN","Lebanon",146,"North Africa and Middle East",137,"North Africa and Middle East",137
"LBR","Liberia",210,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"LBY","Libya",147,"North Africa and Middle East",137,"North Africa and Middle East",137
"LCA","Saint Lucia",116,"Latin America and Caribbean",103,"Caribbean",104
"LKA","Sri Lanka",17,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"LSO","Lesotho",194,"Sub-Saharan Africa",166,"Southern sub-Saharan Africa",192
"LTU","Lithuania",60,"Central Europe, eastern Europe, and central Asia",31,"Eastern Europe",56
"LUX","Luxembourg",87,"High-income countries",64,"Western Europe",73
"LVA","Latvia",59,"Central Europe, eastern Europe, and central Asia",31,"Eastern Europe",56
"MAR","Morocco",148,"North Africa and Middle East",137,"North Africa and Middle East",137
"MCO","Monaco",367,"High-income countries",64,"Western Europe",73
"MDA","Moldova",61,"Central Europe, eastern Europe, and central Asia",31,"Eastern Europe",56
"MDG","Madagascar",181,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"MDV","Maldives",14,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"MEX","Mexico",130,"Latin America and Caribbean",103,"Central Latin America",124
"MHL","Marshall Islands",24,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"MKD","North Macedonia",49,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"MLI","Mali",211,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"MLT","Malta",88,"High-income countries",64,"Western Europe",73
"MMR","Myanmar",15,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"MNE","Montenegro",50,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"MNG","Mongolia",38,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"MNP","Northern Mariana Islands",376,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"MOZ","Mozambique",184,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"MRT","Mauritania",212,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"MUS","Mauritius",183,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"MWI","Malawi",182,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"MYS","Malaysia",13,"Southeast Asia, east Asia, and Oceania",4,"Southeast Asia",9
"NAM","Namibia",195,"Sub-Saharan Africa",166,"Southern sub-Saharan Africa",192
